Station,Date,Latitude,Longitude,Elevation,Slope,RelativeHumidity_Min,RelativeHumidity_Max,Cloud_Cover_Avg,Precipitation_Avg,Wind_Speed_Avg,Latent_Heat_Flux,Solar_Radiation,TToday_Max,TToday_Min,TrendTMAX,TrendTMIN,Error_Tmax_Iniziale,Error_Tmin_Iniziale,LDAPS_Tmax_lapse,LDAPS_Tmin_lapse,Next_Tmax,Next_Tmin,ErroreTmin_Lag1,ErroreTmax_Lag1,ErroreTmin_Lag2,ErroreTmax_Lag2,ErroreTmin_Lag3,ErroreTmax_Lag3,ErroreTmin_Lag4,ErroreTmax_Lag4,ErroreTmin_Lag5,ErroreTmax_Lag5,ErroreTmin_Lag6,ErroreTmax_Lag6
1,2017-06-30,37.6046,126.991,212.335,2.785,58.96412277,97.82137299,0.44264289925,0.00647239175,6.397833079,75.36666402,5992.895996,27.9,19.9,0.0,0.0,2.40162486,-1.22871352,26.79837514,20.82871352,29.2,19.6,0,0,0,0,0,0,0,0,0,0,0,0
2,2017-06-30,37.6046,127.032,44.7624,0.5141,51.61782837,89.57739258,0.43837223975,0.0079809205,6.199736307,54.44932902,5869.3125,30.3,21.0,0.0,0.0,0.930347820000001,-1.2799556,29.06965218,22.9799556,30,21.7,0,0,0,0,0,0,0,0,0,0,0,0
3,2017-06-30,37.5776,127.058,33.3068,0.2661,47.53852081,85.52945709,0.43466163925,0.0028134675,6.269955824,14.450297,5863.555664,30.2,22.5,0.0,0.0,-0.096974079999999,-0.654280880000002,29.69697408,23.55428088,29.6,22.9,0,0,0,0,0,0,0,0,0,0,0,0
4,2017-06-30,37.645,127.022,45.716,2.5348,59.40771103,98.80696869,0.41704465749999997,0.01042057275,6.755824586,105.2264572,5856.964844,30.7,22.0,0.0,0.0,3.16512818,1.41901314,28.23487182,21.38098686,31.4,22.8,0,0,0,0,0,0,0,0,0,0,0,0
5,2017-06-30,37.5507,127.135,35.038,0.5055,55.0041275,92.86707306,0.43403621825,0.00350090625,6.24100557,104.7912465,5859.552246,31.0,21.8,0.0,0.0,1.81179811,0.23581622,27.98820189,22.16418378,29.8,22.4,0,0,0,0,0,0,0,0,0,0,0,0
6,2017-06-30,37.5102,127.042,54.6384,0.1457,52.75056458,89.0917511,0.431448628,0.00036663025,6.161899298,55.19098306,5873.780762,30.3,23.6,0.0,0.0,2.43497291,-0.0972955100000021,28.26502709,23.49729551,30.7,23.4,0,0,0,0,0,0,0,0,0,0,0,0
7,2017-06-30,37.5776,126.838,12.37,0.0985,61.23201752,97.0407486,0.44663924675,0.000316218,5.676015894,120.2693955,5849.233398,29.7,22.5,0.0,0.0,2.47731615,-0.417031569999999,27.52268385,22.51703157,30,22.1,0,0,0,0,0,0,0,0,0,0,0,0
8,2017-06-30,37.4697,126.91,52.518,1.5629,56.35694122,92.61975861,0.447889373,0.0,6.032216966,47.58625265,5863.992188,29.4,23.2,0.0,0.0,2.80030114,0.733924630000001,27.69969886,21.76607537,30.5,22.5,0,0,0,0,0,0,0,0,0,0,0,0
10,2017-06-30,37.4562,126.955,208.507,5.1782,58.67096329,94.93306732,0.43139082175,0.0002307995,6.265716294,51.93653855,5893.608398,28.4,19.4,0.0,0.0,1.85516766,-2.15475269,26.34483234,21.95475269,28.2,19.8,0,0,0,0,0,0,0,0,0,0,0,0
13,2017-06-30,37.5776,127.083,59.8324,2.6865,49.18729401,85.34075165,0.44449149849999997,0.0020801175,6.055554032,43.84745757,5861.027344,30.8,22.8,0.0,0.0,1.35362632,0.493915579999999,29.14637368,23.00608442,30.5,23.5,0,0,0,0,0,0,0,0,0,0,0,0
