Station,Date,Latitude,Longitude,Elevation,Slope,RelativeHumidity_Min,RelativeHumidity_Max,Cloud_Cover_Avg,Precipitation_Avg,Wind_Speed_Avg,Latent_Heat_Flux,Solar_Radiation,TToday_Max,TToday_Min,TrendTMAX,TrendTMIN,Error_Tmax,Error_Tmin,ErroreTmin_Lag1,ErroreTmax_Lag1,ErroreTmin_Lag2,ErroreTmax_Lag2,ErroreTmin_Lag3,ErroreTmax_Lag3,ErroreTmin_Lag4,ErroreTmax_Lag4,ErroreTmin_Lag5,ErroreTmax_Lag5,ErroreTmin_Lag6,ErroreTmax_Lag6
1,2013-06-30,37.6046,126.991,212.335,2.785,58.25568771,91.11636353,0.18261705825,0.0,6.818886966,69.45180527,5992.895996,28.7,21.4,0.0,0.0,1.02589854,-1.80693617,0,0,0,0,0,0,0,0,0,0,0,0
2,2013-06-30,37.6046,127.032,44.7624,0.5141,52.26339722,90.60472107,0.1911127235,0.0,5.691889932,51.93744783,5869.3125,31.9,21.6,0.0,0.0,0.649311440000002,-1.53500932,0,0,0,0,0,0,0,0,0,0,0,0
3,2013-06-30,37.5776,127.058,33.3068,0.2661,48.69047928,83.97358704,0.20325745625,0.0,6.138223678,20.57304966,5863.555664,31.6,23.3,0.0,0.0,1.00870829,-0.665633420000002,0,0,0,0,0,0,0,0,0,0,0,0
4,2013-06-30,37.645,127.022,45.716,2.5348,58.23978806,96.48368835,0.18444513375000002,0.0,5.650050263,65.72714393,5856.964844,32.0,23.4,0.0,0.0,1.9953711,0.97382271,0,0,0,0,0,0,0,0,0,0,0,0
5,2013-06-30,37.5507,127.135,35.038,0.5055,56.17409515,90.15512848,0.18757891175000002,0.0,5.735004306,107.9655353,5859.552246,31.4,21.9,0.0,0.0,2.08606568,-0.986479930000002,0,0,0,0,0,0,0,0,0,0,0,0
6,2013-06-30,37.5102,127.042,54.6384,0.1457,52.43712616,85.30725098,0.21132515950000003,0.0,6.182295263,50.23138913,5873.780762,31.9,23.5,0.0,0.0,2.28065773,0.177387100000001,0,0,0,0,0,0,0,0,0,0,0,0
7,2013-06-30,37.5776,126.838,12.37,0.0985,56.28718948,81.01976013,0.284823646,0.0,5.587134739,125.110007,5849.233398,31.4,24.4,0.0,0.0,2.34814135,-0.838467120000001,0,0,0,0,0,0,0,0,0,0,0,0
8,2013-06-30,37.4697,126.91,52.518,1.5629,52.32621765,78.00453949,0.27975312825,0.0,6.104417304,42.01154665,5863.992188,32.1,23.6,0.0,0.0,2.24801842,-0.919053890000001,0,0,0,0,0,0,0,0,0,0,0,0
9,2013-06-30,37.4967,126.826,50.9312,0.4125,55.33879089,80.78460693,0.291864165,0.0,6.017135074,85.11097145,5876.901367,31.4,22.0,0.0,0.0,2.8730248,-1.73237339,0,0,0,0,0,0,0,0,0,0,0,0
10,2013-06-30,37.4562,126.955,208.507,5.1782,56.65120316,86.84963226,0.25881123775,0.0,6.518841068,63.00607544,5893.608398,31.6,20.5,0.0,0.0,2.92329511,-1.52701832,0,0,0,0,0,0,0,0,0,0,0,0
11,2013-06-30,37.5372,127.085,28.7,0.6233,51.15639496,85.38563538,0.20789420675,0.0,6.411812464,55.69031231,5864.000977,31.7,23.5,0.0,0.0,1.50527571,0.0673539699999992,0,0,0,0,0,0,0,0,0,0,0,0
12,2013-06-30,37.5507,126.988,132.118,0.5931,51.28834915,80.3380127,0.20520331349999998,0.0,6.423992604,28.71928795,5924.328613,31.6,22.2,0.0,0.0,3.66368632,-2.16594852,0,0,0,0,0,0,0,0,0,0,0,0
13,2013-06-30,37.5776,127.083,59.8324,2.6865,48.76792908,84.00816345,0.21167051225,0.0,5.988360584,32.03944751,5861.027344,32.1,23.8,0.0,0.0,1.47072837,0.0182503000000018,0,0,0,0,0,0,0,0,0,0,0,0
14,2013-06-30,37.4967,126.927,30.968,0.618,50.74573517,74.49880981,0.26856698725,0.0,6.319477777,16.83561063,5857.949707,31.3,23.8,0.0,0.0,2.20147381,-1.55942658,0,0,0,0,0,0,0,0,0,0,0,0
15,2013-06-30,37.5507,126.937,30.0464,0.8552,51.77339172,72.99923706,0.23521616425000003,0.0,6.360547493,32.27512177,5866.655762,32.5,23.6,0.0,0.0,1.1598968,-2.35290854,0,0,0,0,0,0,0,0,0,0,0,0
16,2013-06-30,37.4697,126.995,82.2912,2.2579,56.84833908,84.40817261,0.23642814125,0.0,5.639549484,83.417605,5861.383301,30.7,21.4,0.0,0.0,2.32348253,-2.79515104,0,0,0,0,0,0,0,0,0,0,0,0
17,2013-06-30,37.6181,127.099,53.4712,0.697,54.35250092,93.21831512,0.183400224,0.0,5.497786959,97.97143806,5872.376465,32.1,20.1,0.0,0.0,2.17847489,-1.93616269,0,0,0,0,0,0,0,0,0,0,0,0
18,2013-06-30,37.4832,127.024,56.4448,1.2313,56.14470673,88.36473084,0.22191957650000002,0.0,5.665434659,81.93827105,5864.952637,32.8,23.8,0.0,0.0,4.42382539,0.451835079999999,0,0,0,0,0,0,0,0,0,0,0,0
19,2013-06-30,37.5776,126.938,75.0924,1.7678,52.26592636,75.48375702,0.22511346124999998,0.0,6.359285822,36.33996852,5893.578125,31.4,22.8,0.0,0.0,2.52633168,-3.37015091,0,0,0,0,0,0,0,0,0,0,0,0
20,2013-06-30,37.6181,127.004,146.554,4.7296,61.49383545,95.24523163,0.16291001724999998,0.0,6.814791689,70.16693582,5932.124023,30.9,22.2,0.0,0.0,2.29701132,-0.0315385900000003,0,0,0,0,0,0,0,0,0,0,0,0
21,2013-06-30,37.5507,127.04,26.298,0.5721,49.57604599,81.60166931,0.202492911,0.0,6.413321187,14.79612086,5859.321777,32.0,23.6,0.0,0.0,0.623803980000002,-0.837107060000001,0,0,0,0,0,0,0,0,0,0,0,0
22,2013-06-30,37.5102,127.086,21.9668,0.1332,54.51245499,88.52469635,0.2088680215,0.0,6.020389636,88.0782094,5852.904297,32.2,23.9,0.0,0.0,3.41112995,-0.101352210000002,0,0,0,0,0,0,0,0,0,0,0,0
23,2013-06-30,37.5372,126.891,15.5876,0.1554,54.70558548,75.91982269,0.26753377925,0.0,6.01961568,90.83848906,5851.387695,32.7,24.4,0.0,0.0,2.94201933,-1.53371051,0,0,0,0,0,0,0,0,0,0,0,0
24,2013-06-30,37.5237,126.909,17.2956,0.2223,52.07278442,73.69394684,0.26327105549999996,0.0,6.222672025,49.00751964,5850.358887,31.5,25.0,0.0,0.0,1.95574814,-1.1568064,0,0,0,0,0,0,0,0,0,0,0,0
25,2013-06-30,37.5237,126.97,19.5844,0.2713,50.27460861,75.52501678,0.22962132775,0.0,6.265457382,23.34217552,5855.09375,32.5,24.2,0.0,0.0,2.03624669,-0.772863749999999,0,0,0,0,0,0,0,0,0,0,0,0
